title,company,location,date_posted,job_type,salary,description,url,source,scraped_at
Low-Code / No-Code Automation Engineer,Huzzle.com,United States,2026-04-16,,,,https://www.linkedin.com/jobs/view/low-code-no-code-automation-engineer-at-huzzle-com-4402947228?position=23&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=M4fupliAMV2RVfXkFwOWow%3D%3D,LinkedIn,2026-04-18T12:23:20.872534
Automation Engineer,Earnix,"Ramat Gan, Tel Aviv District, Israel",2026-04-13,,,,https://il.linkedin.com/jobs/view/automation-engineer-at-earnix-4401316481?position=24&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=KzTpeZORhRb9EWJHh7CbEg%3D%3D,LinkedIn,2026-04-18T12:23:21.490918
Automation Engineer,Novares Group,"Grand Rapids, MI",2026-04-13,,,,https://www.linkedin.com/jobs/view/automation-engineer-at-novares-group-4401501299?position=25&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=4Zrt0dia4%2Bql3KTtW1HPEA%3D%3D,LinkedIn,2026-04-18T12:23:22.109527
Motion Sensing AI Automation Engineer,Apple,"San Diego, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=744721b481e30ea6&bb=RP6HYJCKCJMD_BnL7owVVAcbOOrBX7bhqgoVmZBt2WHQ7MBp0zDLhO15Z-KKsNJWI1s5CmUtPLE07E8jBrvzSSntcuMNMSYxq4rJyYSg7rnuMgtvOsz0y6DxejuA5jAe-_QOQYnk-jLlD-JRth7kQ9jRNx0eCBj7&xkcb=SoAf67M3kPnGh3gC9r0LbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-18T12:23:46.029944
DFM Automation & AI Tools Development Engineer,Apple,"Cupertino, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=0184a826bd39c36f&bb=RP6HYJCKCJMD_BnL7owVVJWgmNcoXqkR6mN4tkypAAflCnyCI9CtRyJ38sZpPT2W98NRBYJ5LNcnbnbtUeUop3J5kdkprt-dDJvv8Ceg88F0TZ1ez13SBB1qdsWtxKQpxmvMXQ8wuAaxRCp5mAH8e4zw2vubyrsF&xkcb=SoCr67M3kPnGh3gC9r0KbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-18T12:23:46.791601
CAD Flow Automation and AI Engineer,Apple,"Sunnyvale, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=e1db686baed86ad1&bb=RP6HYJCKCJMD_BnL7owVVCgPSGkZBbYG1WynGWuePn3HJ8bWHriXVJuObLIaC6T-hx4vS1-zRdqsxp7Diq46kApRUaMX0uy4CIkD2fk2mwL9hWNeQTJm4zlvmtItydCZ_he_DGoik7sBu0yax3v5obnZQw3VCV2B&xkcb=SoA267M3kPnGh3gC9r0JbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-18T12:23:47.654626
Sr. AI/ML QA Automation Engineer,Apple,"Cupertino, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=b73f456173002e6e&bb=RP6HYJCKCJMD_BnL7owVVOoG1ecNs8XW5YyBchLwEyTVWDxh9l_lhAM0dmOwAe4tQcooIkzT2ohLm9E0VczyNd7WowaOyxujuia90phR27q0Ina0uM2ROnP5mP8CqKS9ODoAFPbB0_8mhLbbSgNg5lThhUAIFlsI&xkcb=SoCC67M3kPnGh3gC9r0IbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-18T12:23:48.262510
"Advisor - Lab Automation Software Engineer, AI-Integration",Lilly,"San Diego, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=f5969738189d6182&bb=RP6HYJCKCJMD_BnL7owVVEBFxI5Z_b59vTdV3Amu27HJjX5SpmdOpd4dvAT55DL9wu0-IukAXK1frw1pAKXszfaIauY2UI3KB-YvdK-GbB7J22SpqwS3j7mn92_Db2YiDkNV4YyBRr3NudituHlfyxlHUCmo2k9-&xkcb=SoAM67M3kPnGh3gC9r0PbzkdCdPP&fccid=ac8d156b339793e6&vjs=3,Indeed,2026-04-18T12:23:48.940943
"Senior/Staff Software Engineer - AI, Search & Knowledge Platforms",Apple,"Santa Clara, CA 95050",N/A,,,,https://www.indeed.com/rc/clk?jk=b13cc44e6b79a00c&bb=RP6HYJCKCJMD_BnL7owVVP5WCArTeIXdxI_8cbP7OboqncdLYc0JbQA1r4rg_xRIF8j0QD2EqiiT9_874Q4JcYPDhT4-ZAcoLhZHZ5NaCK39wn3wngaZubN8b7A9u3F0nwGZbaD22uB689d3W-5wC-ywSsj9K1tp&xkcb=SoB467M3kPnGh3gC9r0DbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-18T12:23:49.583837
"Backend Engineer - AI Quality and Systems, WWDR Engineering",Apple,"Sunnyvale, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=e74da777efafef96&bb=RP6HYJCKCJMD_BnL7owVVO0WWyILJV2zjVMKmnFyhE8v8r4wzMFIjXMyxv2bMG4bktGBwWog8nGJ-5IfuxuFQQaRV5TgcW8eBc503S-zDfVtN_XCOhnrovoWU7G07g6nZuf5LmcZMDEXYNj1eJju71sq299YGjnP&xkcb=SoDM67M3kPnGh3gC9r0CbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-18T12:23:50.188874
"Tools & Automation Engineer, Wireless Technologies & Ecosystems",Apple,"San Diego, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=5f36521ea89b50e0&bb=RP6HYJCKCJMD_BnL7owVVBKjFUVflagqsF8SiYZLWca5Qbx_PwKh8EDX-uI3GaHs56UCDGGvLaMlkp0_Cf1WTgXDRGNx5yWYxeDY3F5ZDEpGAwvDUcpLRbiBGYc2ekK-UCYq7q44ivarRETco8CQ1x3M5_Zu9kLg&xkcb=SoDf67M3kPnGh3gC9r0GbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-18T12:23:51.004537
"CI Systems Engineer (AI Failure Analysis), Platform Apps & Technologies, Developer Workflows",Apple,"Cupertino, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=af3ce1338134ffb1&bb=RP6HYJCKCJMD_BnL7owVVEydpnSY1i5KsLbMgVByX_lCb-T6ncTENb08X0Q5-uymO9cj_-C4YQvEpB9YANqPuJa-Kt2dX03uo6w-fjjgy0xYaQ-bRd97eqrqNssfukF7vty4HfomQIw8qBNtaceUyVG-LtFmhXXs&xkcb=SoBC67M3kPnGh3gC9r0FbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-18T12:23:51.693903
"Software Engineer, Performance Automation Platform",TikTok,"San Jose, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=9c9f8b581a43246b&bb=RP6HYJCKCJMD_BnL7owVVIZpi9jrDc5JJ7wAbX0q3tzxDOSIh8cDd2dfOB522Yn-7kMBgWBoyjeFLt0A3XqU80KTVxQwhZPMfvW9GkhJmPEpQqArnaAJ1487F1ry0N5gDuNKQMQWzqmh8c0aajQTxckKhuZic_Eq&xkcb=SoBl67M3kPnGh3gC9r0abzkdCdPP&fccid=caed318a9335aac0&vjs=3,Indeed,2026-04-18T12:23:53.557900
Platform Automation Engineer,Adobe,"Lehi, UT 84043",N/A,,,,https://www.indeed.com/rc/clk?jk=617e81093a1213ef&bb=RP6HYJCKCJMD_BnL7owVVIiDEZGpwNaCikKVMYVCVOvS5Cn8vqiNyXcJr9LcDe_lxzc05QqsT0fy4p7BFt5kslzb6O52gXQkpsz4v1aIp8027TqhNZhF9ZEgPOGpK6qsUXXj_272DoeMz-TLcKarrdgeOQE_ikAe&xkcb=SoD467M3kPnGh3gC9r0ZbzkdCdPP&fccid=f89deb5a97c7738a&vjs=3,Indeed,2026-04-18T12:23:54.505335
Staff Automation AI Engineer - Manufacturing Engineering,General Motors,"Warren, MI",N/A,,,,https://www.indeed.com/rc/clk?jk=3a4e8405eccd917a&bb=RP6HYJCKCJMD_BnL7owVVMXqsgO7FnGkS5_VelBPeU1d9vd2l_jPKWcJ67qDgi1aIm3Sd2TE-x7PNUqbXWghD8999Zu7S2Kt0eF9MuiAsn829408ELinZ0Z4qqQpQRuzOUvWYMCEsy5w7qDpNQYfMpT73j9pXaiQ&xkcb=SoBM67M3kPnGh3gC9r0YbzkdCdPP&fccid=116680a29a847a70&vjs=3,Indeed,2026-04-18T12:23:55.211295
Software Engineer - Tools & Automation,Zoox,"Hybrid work in Foster City, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=53e3b8012bbb5699&bb=RP6HYJCKCJMD_BnL7owVVMXqsgO7FnGkqNexk9qruI3Vmzdkeysv7SCX6fsQD-zsxog51OaIdvL47pb59jO3ctrr3AWJ7jSexoLsLq1BJTXHZIdDVeQmoq4sKBz0jGyp9q4YMz3Id5bfdoEvS1OwTfvmUYKykIfl&xkcb=SoDC67M3kPnGh3gC9r0fbzkdCdPP&fccid=44f9aa469b1c1a0c&vjs=3,Indeed,2026-04-18T12:23:55.932280
AI Automation Infrastructure Engineer,Nice,"Sandy, UT 84070",N/A,,,,https://www.indeed.com/rc/clk?jk=8d1af3c3d4ac9319&bb=RP6HYJCKCJMD_BnL7owVVE5D-3j7IXd2-9Wm4f7x8KF-rn1TgGCxjjH-QjRwCjh9F7rIFzHK7GNhvIyAEQ0QJL_Zv6DRiTR1Sb9M94_9K4APBMFHyRUyhK0SDqN1vWCmgh_k-AStCH1b7M73Sl4ODTqDZzXCH58e&xkcb=SoB267M3kPnGh3gC9r0ebzkdCdPP&fccid=48d865ee21517f2f&vjs=3,Indeed,2026-04-18T12:23:56.451616
DevOps & AI Automation Engineer,Specifi VA Ltd,Remote,N/A,,,,https://www.indeed.com/rc/clk?jk=ee6b296a0ce2f382&bb=RP6HYJCKCJMD_BnL7owVVNCXQeNqnub551pELkDPLPCJEePgSeSPSLX8a32ZlpkKY1hseexqzC8lm0WUBZ774OSbxJcCv6RMThaT6IxU7pXpt-vF5T2CTMnrOI8E0KKH7zkYhRO0MpntXJzQM6PjKtrmz45ej-F3&xkcb=SoDr67M3kPnGh3gC9r0dbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,Indeed,2026-04-18T12:23:57.210911
